Time (s),USB Avg Current (mA),USB Avg Power (mW)
0.0000,563.162,2615.3242
0.0020,571.809,2653.1938
0.0040,570.791,2642.7625
0.0060,572.468,2650.5271
0.0080,570.207,2646.9009
0.0100,570.256,2649.4092
0.0120,589.812,2724.9314
0.0140,568.119,2630.3911
0.0160,543.718,2536.9883
0.0180,566.231,2634.1067
0.0200,567.622,2637.1719
0.0220,588.508,2720.084
0.0240,568.616,2644.0647
0.0260,566.355,2631.2852
0.0280,579.885,2680.2288
0.0300,566.368,2634.7439
0.0320,547.184,2554.2551
0.0340,588.061,2720.3701
0.0360,565.796,2619.6357
0.0380,566.554,2626.5444
0.0400,566.181,2632.7419
0.0420,565.97,2630.6282
0.0440,588.52,2727.2017
0.0460,565.336,2628.8125
0.0480,558.913,2607.8882
0.0500,544.103,2536.6084
0.0520,565.535,2631.9998
0.0540,585.203,2702.4675
0.0560,576.121,2666.2878
0.0580,566.33,2631.1692
0.0600,565.895,2621.2258
0.0620,566.107,2619.9431
0.0640,567.225,2630.7896
0.0660,566.455,2624.9524
0.0680,564.939,2623.5769
0.0700,572.518,2654.1936
0.0720,567.697,2637.5203
0.0740,571.959,2647.0261
0.0760,590.769,2735.2605
0.0780,570.406,2652.3879
0.0800,570.418,2642.1763
0.0820,550.352,2562.439
0.0840,567.846,2639.3481
0.0860,578.146,2682.5974
0.0880,593.416,2746.3291
0.0900,575.288,2672.7881
0.0920,566.169,2632.686
0.0940,565.933,2631.5884
0.0960,566.827,2636.8794
0.0980,571.623,2655.7603
0.1000,566.827,2625.5427
0.1020,568.716,2638.8423
0.1040,568.032,2641.3489
0.1060,569.002,2645.8594
0.1080,577.164,2661.8804
0.1100,577.661,2678.0366
0.1120,565.374,2630.1199
0.1140,549.806,2566.4946
0.1160,553.918,2580.1501
0.1180,565.175,2626.9331
0.1200,588.732,2711.6995
0.1220,565.597,2631.1572
0.1240,565.361,2624.406
0.1260,563.821,2611.6189
0.1280,564.665,2623.4333
0.1300,581.749,2688.844
0.1320,546.054,2550.0723
0.1340,565.063,2623.0225
0.1360,565.808,2620.8225
0.1380,568.343,2639.385
0.1400,572.679,2648.0679
0.1420,592.558,2737.6179
0.1440,567.212,2636.4011
0.1460,568.48,2640.021
0.1480,545.718,2549.5945
0.1500,567.051,2633.385
0.1520,591.316,2723.6013
0.1540,569.61,2649.8257
0.1560,570.207,2645.7603
0.1580,567.734,2629.7439
0.1600,567.734,2637.6921
0.1620,571.76,2657.5403
0.1640,569.163,2646.6082
0.1660,567.399,2640.6748
0.1680,566.479,2632.9944
0.1700,566.914,2635.0161
0.1720,566.802,2636.7629
0.1740,584.768,2695.7805
0.1760,565.336,2619.7668
0.1780,566.38,2633.667
0.1800,545.905,2549.3765
0.1820,562.305,2615.8428
0.1840,583.812,2703.0496
0.1860,571.611,2653.4185
0.1880,565.585,2631.1016
0.1900,564.616,2619.8184
0.1920,564.007,2612.4805
0.1940,564.417,2622.2812
0.1960,585.911,2716.2834
0.1980,541.804,2530.2249
0.2000,567.908,2637.365
0.2020,565.821,2627.6726
0.2040,566.231,2632.9744
